This is xake, Version 0.9.4

actor,verb,timestamp
5bdc920960cc2a99bc34e7aa,experienced,2018-12-05T21:02:31.349Z
5bdc920960cc2a99bc34e7aa,experienced,2018-12-05T21:02:31.371Z
5bdc920960cc2a99bc34e7aa,experienced,2018-12-05T21:12:22.983Z
5bdc920960cc2a99bc34e7aa,experienced,2018-12-05T21:12:22.995Z
5b95929412cdff265666182a,experienced,2018-12-06T01:00:27.505Z
5b95929412cdff265666182a,experienced,2018-12-06T01:00:27.516Z
5bdcab6360cc2a99bc34e861,experienced,2018-12-13T16:36:32.932Z
5bdcab6360cc2a99bc34e861,experienced,2018-12-13T16:36:32.940Z
5bdc920960cc2a99bc34e7aa,experienced,2018-12-13T16:40:31.019Z
5bdc920960cc2a99bc34e7aa,experienced,2018-12-13T16:40:31.040Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-13T19:17:45.974Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-13T19:17:45.997Z
5b9aa6a66ad1ffe3553b87f2,completed,2018-12-15T20:08:40.471Z
5b9aa6a66ad1ffe3553b87f2,answered,2018-12-15T20:08:40.473Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-15T21:09:16.511Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-15T21:09:23.512Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-15T21:09:23.533Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-15T21:09:23.539Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-15T21:09:23.548Z
5bbb79dfaa35b231905fe451,experienced,2018-12-15T21:30:32.074Z
5bbb79dfaa35b231905fe451,experienced,2018-12-15T21:30:32.089Z
5bbb79dfaa35b231905fe451,experienced,2018-12-15T21:30:32.117Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-20T17:20:58.981Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-20T17:21:14.912Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-20T17:21:14.923Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-20T18:08:09.800Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-20T18:08:09.824Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-22T19:23:55.019Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-22T19:23:55.039Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-22T19:41:41.537Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-22T19:41:41.586Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-22T19:41:41.664Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-22T19:41:56.495Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-22T19:41:56.513Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-22T19:58:17.679Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-22T19:58:17.718Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-24T16:22:25.803Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-24T16:22:25.817Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-24T16:23:16.185Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-24T16:23:16.215Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-24T16:23:23.056Z
5b9aa6a66ad1ffe3553b87f2,experienced,2018-12-24T16:23:23.080Z
5b9aa6a66ad1ffe3553b87f2,completed,2018-12-24T16:24:10.601Z
5b9aa6a66ad1ffe3553b87f2,answered,2018-12-24T16:24:10.603Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-04T19:19:22.924Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-04T19:19:22.936Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-07T22:15:06.551Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-07T22:15:21.649Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-07T22:15:21.651Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T16:27:24.608Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T16:27:24.621Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:09.993Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.604Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.623Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.628Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.626Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.632Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.633Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.633Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.633Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.633Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.634Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.633Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.634Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.634Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.634Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.634Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:35:17.635Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:35:21.407Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:35:21.408Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:35:26.735Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:35:29.667Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:35:29.668Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:35:39.588Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:35:53.785Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:36:02.395Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:36:02.395Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:36:33.379Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:36:33.380Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:36:41.634Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:36:41.635Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:36:49.418Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:36:49.419Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:36:59.626Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:36:59.627Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:37:07.379Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:37:07.379Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:37:11.248Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:37:14.210Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:37:14.210Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:37:16.811Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:37:21.834Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:37:21.835Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:37:28.170Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:37:28.171Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:37:33.664Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:37:46.658Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:37:46.660Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:37:50.954Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:37:50.954Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:37:58.882Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:37:58.883Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:38:10.357Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:38:10.358Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:38:46.505Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:38:46.515Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:39:11.678Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:39:11.679Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:39:17.380Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:39:28.016Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:39:28.027Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:39:28.029Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:39:28.032Z
5b9aa6a66ad1ffe3553b87f2,experienced,2019-01-08T17:39:28.037Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:39:34.289Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:39:34.289Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:39:39.650Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:39:39.651Z
5b9aa6a66ad1ffe3553b87f2,completed,2019-01-08T17:39:44.236Z
5b9aa6a66ad1ffe3553b87f2,answered,2019-01-08T17:39:44.237Z
